iter	Logloss
0	0.6305890246
1	0.5745975728
2	0.5240762412
3	0.4825281156
4	0.4481632985
5	0.4172905124
6	0.397958509
7	0.3842164383
8	0.3694871915
9	0.3544040083
10	0.3422776047
11	0.3320117094
12	0.3237370861
13	0.313715046
14	0.3066256776
15	0.3011478242
16	0.2962549171
17	0.2923583984
18	0.2875786606
19	0.2838360274
20	0.2788069329
21	0.2773769924
22	0.2728847063
23	0.2693259311
24	0.2648322177
25	0.2615895693
26	0.2571294616
27	0.252271743
28	0.2503730099
29	0.2469673157
30	0.2434651381
31	0.2403664362
32	0.2383124423
33	0.236406988
34	0.2332204961
35	0.2304268662
36	0.2275080259
37	0.2252715234
38	0.222622307
39	0.2198799808
40	0.2176651987
41	0.2145862839
42	0.2124416844
43	0.2101560839
44	0.2080606993
45	0.2064356771
46	0.2049298838
47	0.2026873997
48	0.2008922214
49	0.1994033087
50	0.1970801451
51	0.1952047802
52	0.192873559
53	0.1903381348
54	0.1874891138
55	0.1852536493
56	0.1832527498
57	0.1806524627
58	0.1782707552
59	0.1765288269
60	0.1749904918
61	0.1719777114
62	0.1692900885
63	0.1675260245
64	0.1662533818
65	0.1653430575
66	0.1637949522
67	0.1635432211
68	0.1625645566
69	0.1607334111
70	0.1589359621
71	0.1556413612
72	0.1544693019
73	0.15180676
74	0.1506707717
75	0.1487755289
76	0.1477795555
77	0.1476094252
78	0.1465163458
79	0.1444777923
80	0.1428520825
81	0.1406989065
82	0.1391704715
83	0.1380081955
84	0.1360720939
85	0.1341846622
86	0.1334127309
87	0.1317760831
88	0.1294403336
89	0.1274071648
90	0.1258189662
91	0.1243133026
92	0.1229042001
93	0.121399847
94	0.1199470831
95	0.1184897909
96	0.1169027212
97	0.1158106019
98	0.1145364152
99	0.1132272474
