iter	Passed	Remaining
0	149	14765
1	151	7423
2	152	4939
3	154	3696
4	155	2954
5	157	2470
6	159	2117
7	160	1851
8	162	1643
9	163	1474
10	165	1337
11	167	1225
12	168	1127
13	170	1045
14	171	973
15	173	908
16	174	852
17	176	805
18	178	760
19	179	719
20	181	683
21	182	647
22	184	617
23	186	590
24	187	563
25	189	539
26	190	516
27	192	495
28	194	475
29	196	457
30	197	439
31	199	423
32	200	407
33	201	391
34	203	378
35	205	365
36	206	352
37	208	339
38	209	327
39	210	316
40	212	305
41	214	295
42	215	286
43	217	276
44	218	266
45	219	258
46	221	249
47	222	241
48	224	233
49	225	225
50	226	218
51	228	210
52	229	203
53	230	196
54	232	190
55	234	184
56	235	177
57	236	171
58	238	165
59	239	159
60	241	154
61	243	149
62	244	143
63	245	138
64	247	133
65	248	128
66	250	123
67	252	118
68	253	113
69	254	109
70	256	104
71	257	100
72	258	95
73	260	91
74	262	87
75	263	83
76	264	79
77	266	75
78	267	71
79	269	67
80	270	63
81	272	59
82	273	56
83	274	52
84	276	48
85	277	45
86	279	41
87	280	38
88	282	34
89	283	31
90	284	28
91	286	24
92	287	21
93	289	18
94	291	15
95	292	12
96	294	9
97	295	6
98	296	2
99	298	0
